level,list,period,startYear,endYear,title,composer, page ,character,speed
5,List A,Baroque,1600,1750,Little Prelude in C Major,J.S. Bach,4,majestic,fast
5,List A,Baroque,1600,1750,Fantasia in E flat Major,Telemann,5,sad,slow
5,List A,Baroque,1600,1750,Deux rigaudons,Rameau,6,frantic,extremely fast
5,List A,Baroque,1600,1750,Angloise in D Major,J.C.F. Bach,8,peaceful,medium
5,List A,Baroque,1600,1750,Sonata in D Minor,Scarlatti,9,happy,fast
5,List A,Baroque,1600,1750,Allegro in C Minor,Seixas,10,majestic,fast
5,List A,Baroque,1600,1750,Fuga (Sonatina) in G Major,Handel,11,sad,slow
5,List B,Classical and Classical-style Repertoire,1750,1830,Allegro moderato in F Major,L. Mozart,12,frantic,extremely fast
5,List B,Classical and Classical-style Repertoire,1750,1830,"Sonatina in G Major, op. 168",Diabelli,14,peaceful,medium
5,List B,Classical and Classical-style Repertoire,1750,1830,"Sonatina in F Major, Anh. 5",Beethoven,16,happy,fast
5,List B,Classical and Classical-style Repertoire,1750,1830,"Minuet in C Major, Hob. IX:8",Haydn,18,majestic,fast
5,List B,Classical and Classical-style Repertoire,1750,1830,"Sonatina in C Major, op. 36",Clementi,20,sad,slow
5,List B,Classical and Classical-style Repertoire,1750,1830,Sonatina in G Major: III,Latour,23,frantic,extremely fast
5,List C,"Romantic, 20th-, and 21st-century Repertoire",1830,2022,"Harvest Song, op. 68, no. 24",R. Schumann,26,peaceful,medium
5,List C,"Romantic, 20th-, and 21st-century Repertoire",1830,2022,"Polka, op. 39, no. 10",Tchaikovsky ,27,happy,fast
5,List C,"Romantic, 20th-, and 21st-century Repertoire",1830,2022,"Pierrot and Pierrette, op. 25, no. 4 ",Beach,28,majestic,fast
5,List C,"Romantic, 20th-, and 21st-century Repertoire",1830,2022,Dusk                ,Okoye,30,sad,slow
5,List C,"Romantic, 20th-, and 21st-century Repertoire",1830,2022,"Lyric Piece, op. 27, no. 16     ",Kabalevsky ,32,frantic,extremely fast
5,List C,"Romantic, 20th-, and 21st-century Repertoire",1830,2022,Petite pièce pour piano no. 2    ,Boulanger,34,peaceful,medium
5,List C,"Romantic, 20th-, and 21st-century Repertoire",1830,2022,Quietude              ,Alexander,35,happy,fast
5,List C,"Romantic, 20th-, and 21st-century Repertoire",1830,2022,Sidewalk Chalk          ,Donkin,38,majestic,fast
